path,times_optimized,avg_percent_optimized,avg_optimized_throughput_kb/s
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AZURE_SOUTH_AFRICA_NORTH,654,28.435898067389715,93.85371702665083
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,648,22.689919681426225,157.57126916675816
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> GCP_US_CENTRAL_1,602,23.041997014268077,163.7539132761517
AZURE_SOUTH_AFRICA_NORTH -> AZURE_US_EAST -> GCP_US_CENTRAL_1,600,1.6010683344460042,7.884446386018055
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AWS_EU_CENTRAL_1_FRANKFURT,597,22.13960721113001,148.59527544544255
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,580,22.161323496094838,123.80010840682746
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,553,20.390292921087937,117.18809538211485
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,551,20.947582345160757,138.6568577619405
AWS_US_WEST_1_CALIFORNIA -> AZURE_JAPAN_EAST -> GCP_ASIA_EAST_1,533,19.282754926370448,126.76566670587204
AWS_US_EAST_2_OHIO -> GCP_US_SOUTH_1 -> GCP_AUSTRALIA_SOUTHEAST_1,532,23.591352430438523,121.55376034831636
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> AWS_US_WEST_1_CALIFORNIA,528,25.4854236405548,166.82108742766854
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_US_WEST_1_CALIFORNIA,518,22.834332332745362,152.41946490762496
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> GCP_US_CENTRAL_1 -> GCP_ASIA_EAST_1,518,26.858458198991013,90.89569119376824
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> GCP_EUROPE_NORTH_1,517,25.510357015358192,146.66838568878518
GCP_US_SOUTH_1 -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,515,1.8069645469034303,8.60073238006936
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AZURE_US_EAST,497,16.914738664190583,240.0390087038004
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,495,18.11861443309189,107.77936387755233
AWS_EU_NORTH_1_STOCKHOLM -> GCP_US_CENTRAL_1 -> AWS_US_WEST_1_CALIFORNIA,493,17.61344936077852,113.69259796899928
AWS_US_EAST_2_OHIO -> GCP_US_SOUTH_1 -> AZURE_JAPAN_EAST,491,23.23294920790383,145.24920021196374
AWS_US_WEST_2_OREGON -> GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1,485,21.14958056833281,291.4198476871443
AWS_US_WEST_2_OREGON -> AWS_US_WEST_1_CALIFORNIA -> GCP_AUSTRALIA_SOUTHEAST_1,473,19.213378961522768,108.48290009919901
AWS_US_WEST_2_OREGON -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,470,23.39610957467921,128.94966782308063
AWS_EU_NORTH_1_STOCKHOLM -> GCP_EUROPE_NORTH_1 -> GCP_US_CENTRAL_1,459,10.695597946177324,92.06228294629318
AWS_EU_NORTH_1_STOCKHOLM -> GCP_EUROPE_NORTH_1 -> GCP_US_SOUTH_1,456,9.793748929377633,80.40214886201625
AWS_US_WEST_1_CALIFORNIA -> AZURE_US_EAST -> AZURE_SOUTH_AFRICA_NORTH,454,28.879460932515965,94.80087402558411
AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,450,31.011557638711874,191.12967559598303
AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1,439,22.39598159959386,358.4811146595896
AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1 -> AWS_EU_NORTH_1_STOCKHOLM,439,42.72777762661786,222.13676078873073
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST,438,18.095624159587768,263.93617028689846
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_SA_EAST_1_SAO_PAULO,429,18.3320619876066,106.57617862600318
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AWS_US_WEST_2_OREGON,422,21.526038174944286,117.2660290159539
AWS_EU_NORTH_1_STOCKHOLM -> GCP_EUROPE_NORTH_1 -> AWS_US_EAST_2_OHIO,417,15.85612061723361,144.16597513587044
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AWS_EU_NORTH_1_STOCKHOLM,412,32.49554679753821,177.91715028552755
AWS_EU_CENTRAL_1_FRANKFURT -> AWS_EU_NORTH_1_STOCKHOLM -> GCP_EUROPE_NORTH_1,405,21.57765960226328,573.0117209854875
AWS_US_WEST_1_CALIFORNIA -> GCP_US_CENTRAL_1 -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,403,21.17497582147993,144.56624498604208
AWS_EU_NORTH_1_STOCKHOLM -> GCP_US_CENTRAL_1 -> GCP_US_SOUTH_1,399,10.53768765671295,88.41689997559524
AZURE_SOUTH_AFRICA_NORTH -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,397,1.2113158589172626,4.583256542122513
AWS_US_WEST_1_CALIFORNIA -> GCP_US_SOUTH_1 -> GCP_EUROPE_NORTH_1,392,23.562726987224792,139.2695832031451
