path,times_optimized,avg_percent_optimized,avg_optimized_latency_ms,number_hops
AWS_EU_CENTRAL_1_FRANKFURT -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,3161,0.4245854941110405,0.06464762540842328,1
AWS_EU_NORTH_1_STOCKHOLM -> AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> GCP_AUSTRALIA_SOUTHEAST_1,2733,0.3069902686921089,0.08960203075232265,2
AZURE_JAPAN_EAST -> AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST,2731,2.6437170916909003,0.4262827214679771,2
AZURE_BRAZIL_SOUTH -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,2617,1.5811735825655648,0.28371832028379895,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_BRAZIL_SOUTH,2491,1.612434128707907,0.2894019001314363,1
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,2446,0.7482025532378977,0.09510359860197548,1
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,2444,0.7097057621583414,0.09021043492950243,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_BRAZIL_SOUTH,2362,9.801964796683116,1.9116375256213263,2
AZURE_BRAZIL_SOUTH -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,2344,9.81765606380961,1.9153955207943913,2
AZURE_BRAZIL_SOUTH -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,2150,1.1006518592864944,0.2169491497863718,1
AZURE_SOUTH_AFRICA_NORTH -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH,2143,0.3003205851271451,0.10541922708016127,1
AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,2088,3.9935109497811982,0.3857348633058713,1
AWS_US_WEST_2_OREGON -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,2079,11.867456111060148,1.9190059299025009,2
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_US_EAST -> AZURE_FRANCE_CENTRAL,2071,2.6178924382402435,0.386017262551544,2
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AZURE_SOUTH_AFRICA_NORTH,2004,0.37740104182403256,0.1325701736395679,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AZURE_BRAZIL_SOUTH,1940,1.0872483226912921,0.21426150929026722,1
GCP_US_SOUTH_1 -> AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL,1938,1.9587902594329631,0.2477509846971232,1
AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,1869,1.1095332708455974,0.1938297094723207,1
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AWS_SA_EAST_1_SAO_PAULO,1863,1.051998650049557,0.18367071074704144,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> AZURE_FRANCE_CENTRAL,1859,1.4765433017242757,0.28383341555275055,1
GCP_EUROPE_NORTH_1 -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,1816,0.4660815775307525,0.10140366691527292,1
AWS_SA_EAST_1_SAO_PAULO -> AZURE_BRAZIL_SOUTH -> GCP_EUROPE_NORTH_1,1484,0.43410701594504,0.09455459643375463,1
AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO,1478,1.845283500489836,0.1744618056473371,1
AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON,1472,11.692580935515862,1.8877618300726207,2
AZURE_FRANCE_CENTRAL -> AZURE_US_EAST -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,1463,2.6409951180818125,0.3896380391652715,2
AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO -> GCP_US_SOUTH_1,1461,2.0337436440955647,0.25757099380005893,1
AWS_EU_CENTRAL_1_FRANKFURT -> AZURE_FRANCE_CENTRAL -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_1_CALIFORNIA,1432,0.586949490019284,0.08943885609509206,2
AWS_US_WEST_1_CALIFORNIA -> AWS_US_EAST_2_OHIO -> AZURE_FRANCE_CENTRAL -> AWS_EU_CENTRAL_1_FRANKFURT,1416,0.5201871129756452,0.07923914421435474,2
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AWS_US_EAST_2_OHIO -> AWS_US_WEST_2_OREGON -> AZURE_JAPAN_EAST,1412,2.3863055622241114,0.6653594219548697,3
AZURE_FRANCE_CENTRAL -> AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO,1408,6.007413358878388,1.2102272533416614,1
AZURE_BRAZIL_SOUTH -> AWS_SA_EAST_1_SAO_PAULO -> AWS_US_WEST_2_OREGON,1374,8.49436547716208,1.6451390688531242,1
GCP_US_SOUTH_1 -> GCP_US_CENTRAL_1 -> AZURE_US_EAST,1307,4.815507253101215,0.20690036120326744,1
